"","sim_type","mean_comm","case","day"
"1","Control",1,1,1
"2","Lockdown-No Surge",1,1,1
"3","Lockdown-Travel Surge2",1,1,1
"4","Lockdown-Travel Surge3",1,1,1
"5","Control",1.02,1,2
"6","Lockdown-No Surge",1,1,2
"7","Lockdown-Travel Surge2",1,1,2
"8","Lockdown-Travel Surge3",1,1,2
"9","Control",1.06,1,3
"10","Lockdown-No Surge",1,1,3
"11","Lockdown-Travel Surge2",1.02,1,3
"12","Lockdown-Travel Surge3",1.06,1,3
"13","Control",1.12,1,4
"14","Lockdown-No Surge",1.06,1,4
"15","Lockdown-Travel Surge2",1.16,1,4
"16","Lockdown-Travel Surge3",1.1,1,4
"17","Control",1.22,1,5
"18","Lockdown-No Surge",1.12,1,5
"19","Lockdown-Travel Surge2",1.34,1,5
"20","Lockdown-Travel Surge3",1.12,1,5
"21","Control",1.44,1,6
"22","Lockdown-No Surge",1.28,1,6
"23","Lockdown-Travel Surge2",1.48,1,6
"24","Lockdown-Travel Surge3",1.46,1,6
"25","Control",1.84,1,7
"26","Lockdown-No Surge",1.7,1,7
"27","Lockdown-Travel Surge2",1.96,1,7
"28","Lockdown-Travel Surge3",2.18,1,7
"29","Control",2.28,1,8
"30","Lockdown-No Surge",2.28,1,8
"31","Lockdown-Travel Surge2",2.9,1,8
"32","Lockdown-Travel Surge3",3.68,1,8
"33","Control",3.14,1,9
"34","Lockdown-No Surge",2.92,1,9
"35","Lockdown-Travel Surge2",4.34,1,9
"36","Lockdown-Travel Surge3",5.88,1,9
"37","Control",4.32,1,10
"38","Lockdown-No Surge",4.2,1,10
"39","Lockdown-Travel Surge2",6.38,1,10
"40","Lockdown-Travel Surge3",7.9,1,10
"41","Control",6.04,1,11
"42","Lockdown-No Surge",5.26,1,11
"43","Lockdown-Travel Surge2",8.06,1,11
"44","Lockdown-Travel Surge3",9.88,1,11
"45","Control",8.02,1,12
"46","Lockdown-No Surge",6.8,1,12
"47","Lockdown-Travel Surge2",9.84,1,12
"48","Lockdown-Travel Surge3",11.84,1,12
"49","Control",10.5,1,13
"50","Lockdown-No Surge",8.56,1,13
"51","Lockdown-Travel Surge2",11.72,1,13
"52","Lockdown-Travel Surge3",13.86,1,13
"53","Control",13.82,1,14
"54","Lockdown-No Surge",10.38,1,14
"55","Lockdown-Travel Surge2",13.68,1,14
"56","Lockdown-Travel Surge3",15.72,1,14
"57","Control",17.36,1,15
"58","Lockdown-No Surge",12.12,1,15
"59","Lockdown-Travel Surge2",15.72,1,15
"60","Lockdown-Travel Surge3",17.44,1,15
"61","Control",21.4,1,16
"62","Lockdown-No Surge",14.02,1,16
"63","Lockdown-Travel Surge2",17.54,1,16
"64","Lockdown-Travel Surge3",19.14,1,16
"65","Control",26.3,1,17
"66","Lockdown-No Surge",16,1,17
"67","Lockdown-Travel Surge2",20,1,17
"68","Lockdown-Travel Surge3",20.86,1,17
"69","Control",31.42,1,18
"70","Lockdown-No Surge",18.76,1,18
"71","Lockdown-Travel Surge2",21.98,1,18
"72","Lockdown-Travel Surge3",22.86,1,18
"73","Control",36.16,1,19
"74","Lockdown-No Surge",21.52,1,19
"75","Lockdown-Travel Surge2",24,1,19
"76","Lockdown-Travel Surge3",25,1,19
"77","Control",40.56,1,20
"78","Lockdown-No Surge",24.06,1,20
"79","Lockdown-Travel Surge2",26.16,1,20
"80","Lockdown-Travel Surge3",27.32,1,20
"81","Control",45.82,1,21
"82","Lockdown-No Surge",26.64,1,21
"83","Lockdown-Travel Surge2",28.78,1,21
"84","Lockdown-Travel Surge3",30.02,1,21
"85","Control",49.96,1,22
"86","Lockdown-No Surge",29.48,1,22
"87","Lockdown-Travel Surge2",31.18,1,22
"88","Lockdown-Travel Surge3",32.4,1,22
"89","Control",53.78,1,23
"90","Lockdown-No Surge",32.22,1,23
"91","Lockdown-Travel Surge2",33.8,1,23
"92","Lockdown-Travel Surge3",34.74,1,23
"93","Control",57.58,1,24
"94","Lockdown-No Surge",35.12,1,24
"95","Lockdown-Travel Surge2",36.3,1,24
"96","Lockdown-Travel Surge3",37.38,1,24
"97","Control",60.72,1,25
"98","Lockdown-No Surge",37.64,1,25
"99","Lockdown-Travel Surge2",39.22,1,25
"100","Lockdown-Travel Surge3",39.8,1,25
"101","Control",63.78,1,26
"102","Lockdown-No Surge",40.28,1,26
"103","Lockdown-Travel Surge2",42.04,1,26
"104","Lockdown-Travel Surge3",42.38,1,26
"105","Control",66.4,1,27
"106","Lockdown-No Surge",42.5,1,27
"107","Lockdown-Travel Surge2",44.6,1,27
"108","Lockdown-Travel Surge3",44.7,1,27
"109","Control",69.34,1,28
"110","Lockdown-No Surge",44.7,1,28
"111","Lockdown-Travel Surge2",47.12,1,28
"112","Lockdown-Travel Surge3",46.68,1,28
"113","Control",71.56,1,29
"114","Lockdown-No Surge",47.02,1,29
"115","Lockdown-Travel Surge2",49.52,1,29
"116","Lockdown-Travel Surge3",48.98,1,29
"117","Control",73.72,1,30
"118","Lockdown-No Surge",49.36,1,30
"119","Lockdown-Travel Surge2",51.46,1,30
