"","sim_type","mean_comm","case","day"
"1","Control",1,1,1
"2","Lockdown-No Surge",1,1,1
"3","Lockdown-Travel Surge2",1,1,1
"4","Lockdown-Travel Surge3",1,1,1
"5","Control",1.02,1,2
"6","Lockdown-No Surge",1,1,2
"7","Lockdown-Travel Surge2",1,1,2
"8","Lockdown-Travel Surge3",1.02,1,2
"9","Control",1.04,1,3
"10","Lockdown-No Surge",1.04,1,3
"11","Lockdown-Travel Surge2",1.06,1,3
"12","Lockdown-Travel Surge3",1.04,1,3
"13","Control",1.1,1,4
"14","Lockdown-No Surge",1.12,1,4
"15","Lockdown-Travel Surge2",1.22,1,4
"16","Lockdown-Travel Surge3",1.14,1,4
"17","Control",1.26,1,5
"18","Lockdown-No Surge",1.24,1,5
"19","Lockdown-Travel Surge2",1.36,1,5
"20","Lockdown-Travel Surge3",1.42,1,5
"21","Control",1.48,1,6
"22","Lockdown-No Surge",1.38,1,6
"23","Lockdown-Travel Surge2",1.56,1,6
"24","Lockdown-Travel Surge3",1.66,1,6
"25","Control",1.8,1,7
"26","Lockdown-No Surge",1.72,1,7
"27","Lockdown-Travel Surge2",1.9,1,7
"28","Lockdown-Travel Surge3",2.46,1,7
"29","Control",2.46,1,8
"30","Lockdown-No Surge",2.28,1,8
"31","Lockdown-Travel Surge2",2.76,1,8
"32","Lockdown-Travel Surge3",4.04,1,8
"33","Control",3.36,1,9
"34","Lockdown-No Surge",3.3,1,9
"35","Lockdown-Travel Surge2",4.3,1,9
"36","Lockdown-Travel Surge3",6.1,1,9
"37","Control",4.16,1,10
"38","Lockdown-No Surge",4.18,1,10
"39","Lockdown-Travel Surge2",5.88,1,10
"40","Lockdown-Travel Surge3",8.88,1,10
"41","Control",5.72,1,11
"42","Lockdown-No Surge",5.36,1,11
"43","Lockdown-Travel Surge2",7.7,1,11
"44","Lockdown-Travel Surge3",11.32,1,11
"45","Control",7.84,1,12
"46","Lockdown-No Surge",6.84,1,12
"47","Lockdown-Travel Surge2",9.36,1,12
"48","Lockdown-Travel Surge3",13.26,1,12
"49","Control",10.48,1,13
"50","Lockdown-No Surge",8.32,1,13
"51","Lockdown-Travel Surge2",11.16,1,13
"52","Lockdown-Travel Surge3",14.9,1,13
"53","Control",13.6,1,14
"54","Lockdown-No Surge",9.7,1,14
"55","Lockdown-Travel Surge2",12.76,1,14
"56","Lockdown-Travel Surge3",16.64,1,14
"57","Control",17.58,1,15
"58","Lockdown-No Surge",11.3,1,15
"59","Lockdown-Travel Surge2",14.54,1,15
"60","Lockdown-Travel Surge3",18.34,1,15
"61","Control",22.08,1,16
"62","Lockdown-No Surge",13.08,1,16
"63","Lockdown-Travel Surge2",16.6,1,16
"64","Lockdown-Travel Surge3",20.16,1,16
"65","Control",26.6,1,17
"66","Lockdown-No Surge",15.24,1,17
"67","Lockdown-Travel Surge2",18.82,1,17
"68","Lockdown-Travel Surge3",22.38,1,17
"69","Control",31.42,1,18
"70","Lockdown-No Surge",17.56,1,18
"71","Lockdown-Travel Surge2",20.92,1,18
"72","Lockdown-Travel Surge3",24.24,1,18
"73","Control",36.28,1,19
"74","Lockdown-No Surge",19.82,1,19
"75","Lockdown-Travel Surge2",23.22,1,19
"76","Lockdown-Travel Surge3",26.58,1,19
"77","Control",41.22,1,20
"78","Lockdown-No Surge",22.6,1,20
"79","Lockdown-Travel Surge2",25.02,1,20
"80","Lockdown-Travel Surge3",28.76,1,20
"81","Control",45.5,1,21
"82","Lockdown-No Surge",25.04,1,21
"83","Lockdown-Travel Surge2",27.38,1,21
"84","Lockdown-Travel Surge3",30.9,1,21
"85","Control",49.66,1,22
"86","Lockdown-No Surge",27.38,1,22
"87","Lockdown-Travel Surge2",30.04,1,22
"88","Lockdown-Travel Surge3",33.28,1,22
"89","Control",53,1,23
"90","Lockdown-No Surge",30.3,1,23
"91","Lockdown-Travel Surge2",32.4,1,23
"92","Lockdown-Travel Surge3",35.44,1,23
"93","Control",56.46,1,24
"94","Lockdown-No Surge",32.34,1,24
"95","Lockdown-Travel Surge2",34.32,1,24
"96","Lockdown-Travel Surge3",37.7,1,24
"97","Control",59.52,1,25
"98","Lockdown-No Surge",34.68,1,25
"99","Lockdown-Travel Surge2",36.6,1,25
"100","Lockdown-Travel Surge3",39.48,1,25
"101","Control",62.08,1,26
"102","Lockdown-No Surge",36.72,1,26
"103","Lockdown-Travel Surge2",38.56,1,26
"104","Lockdown-Travel Surge3",41.14,1,26
"105","Control",64.22,1,27
"106","Lockdown-No Surge",38.98,1,27
"107","Lockdown-Travel Surge2",40.86,1,27
"108","Lockdown-Travel Surge3",43.32,1,27
"109","Control",66.58,1,28
"110","Lockdown-No Surge",41.34,1,28
"111","Lockdown-Travel Surge2",42.72,1,28
"112","Lockdown-Travel Surge3",44.92,1,28
"113","Control",68.62,1,29
"114","Lockdown-No Surge",43.3,1,29
"115","Lockdown-Travel Surge2",44.46,1,29
"116","Lockdown-Travel Surge3",46.56,1,29
"117","Control",69.98,1,30
"118","Lockdown-No Surge",45,1,30
