"","ncomm","sim_type","i","j"
"851",95,"lockdown, no surge",5,44
"852",93,"lockdown, surge",5,44
"853",100,"control",5,45
"854",95,"lockdown, no surge",5,45
"855",95,"lockdown, surge",5,45
"856",100,"control",5,46
"857",95,"lockdown, no surge",5,46
"858",95,"lockdown, surge",5,46
"859",100,"control",5,47
"860",95,"lockdown, no surge",5,47
"861",96,"lockdown, surge",5,47
"862",100,"control",5,48
"863",95,"lockdown, no surge",5,48
"864",96,"lockdown, surge",5,48
"865",100,"control",5,49
"866",95,"lockdown, no surge",5,49
"867",96,"lockdown, surge",5,49
"868",100,"control",5,50
"869",95,"lockdown, no surge",5,50
"870",97,"lockdown, surge",5,50
"871",100,"control",5,51
"872",96,"lockdown, no surge",5,51
"873",97,"lockdown, surge",5,51
"874",100,"control",5,52
"875",96,"lockdown, no surge",5,52
"876",97,"lockdown, surge",5,52
"877",100,"control",5,53
"878",96,"lockdown, no surge",5,53
"879",97,"lockdown, surge",5,53
"880",100,"control",5,54
"881",96,"lockdown, no surge",5,54
"882",97,"lockdown, surge",5,54
"883",100,"control",5,55
"884",96,"lockdown, no surge",5,55
"885",97,"lockdown, surge",5,55
"886",100,"control",5,56
"887",96,"lockdown, no surge",5,56
"888",97,"lockdown, surge",5,56
"889",100,"control",5,57
"890",97,"lockdown, no surge",5,57
"891",98,"lockdown, surge",5,57
"892",100,"control",5,58
"893",99,"lockdown, no surge",5,58
"894",98,"lockdown, surge",5,58
"895",100,"control",5,59
"896",99,"lockdown, no surge",5,59
"897",98,"lockdown, surge",5,59
"898",100,"control",5,60
"899",99,"lockdown, no surge",5,60
"900",99,"lockdown, surge",5,60
"901",NA,"control",6,1
"902",NA,"lockdown, no surge",6,1
"903",NA,"lockdown, surge",6,1
"904",1,"control",6,2
"905",1,"lockdown, no surge",6,2
"906",1,"lockdown, surge",6,2
"907",1,"control",6,3
"908",1,"lockdown, no surge",6,3
"909",1,"lockdown, surge",6,3
"910",1,"control",6,4
"911",1,"lockdown, no surge",6,4
"912",1,"lockdown, surge",6,4
"913",1,"control",6,5
"914",1,"lockdown, no surge",6,5
"915",1,"lockdown, surge",6,5
"916",1,"control",6,6
"917",1,"lockdown, no surge",6,6
"918",1,"lockdown, surge",6,6
"919",1,"control",6,7
"920",1,"lockdown, no surge",6,7
"921",1,"lockdown, surge",6,7
"922",1,"control",6,8
"923",1,"lockdown, no surge",6,8
"924",1,"lockdown, surge",6,8
"925",1,"control",6,9
"926",1,"lockdown, no surge",6,9
"927",1,"lockdown, surge",6,9
"928",1,"control",6,10
"929",1,"lockdown, no surge",6,10
"930",1,"lockdown, surge",6,10
"931",1,"control",6,11
"932",1,"lockdown, no surge",6,11
"933",1,"lockdown, surge",6,11
"934",1,"control",6,12
"935",2,"lockdown, no surge",6,12
"936",1,"lockdown, surge",6,12
"937",1,"control",6,13
"938",2,"lockdown, no surge",6,13
"939",1,"lockdown, surge",6,13
"940",2,"control",6,14
"941",2,"lockdown, no surge",6,14
"942",1,"lockdown, surge",6,14
"943",2,"control",6,15
"944",2,"lockdown, no surge",6,15
"945",1,"lockdown, surge",6,15
"946",3,"control",6,16
"947",4,"lockdown, no surge",6,16
"948",2,"lockdown, surge",6,16
"949",6,"control",6,17
"950",4,"lockdown, no surge",6,17
"951",2,"lockdown, surge",6,17
"952",11,"control",6,18
"953",8,"lockdown, no surge",6,18
"954",7,"lockdown, surge",6,18
"955",19,"control",6,19
"956",11,"lockdown, no surge",6,19
"957",15,"lockdown, surge",6,19
"958",25,"control",6,20
"959",12,"lockdown, no surge",6,20
"960",18,"lockdown, surge",6,20
"961",33,"control",6,21
"962",19,"lockdown, no surge",6,21
"963",25,"lockdown, surge",6,21
"964",41,"control",6,22
"965",22,"lockdown, no surge",6,22
"966",32,"lockdown, surge",6,22
"967",46,"control",6,23
"968",28,"lockdown, no surge",6,23
"969",40,"lockdown, surge",6,23
"970",55,"control",6,24
"971",29,"lockdown, no surge",6,24
"972",45,"lockdown, surge",6,24
"973",67,"control",6,25
"974",30,"lockdown, no surge",6,25
"975",49,"lockdown, surge",6,25
"976",72,"control",6,26
"977",34,"lockdown, no surge",6,26
"978",53,"lockdown, surge",6,26
"979",81,"control",6,27
"980",38,"lockdown, no surge",6,27
"981",56,"lockdown, surge",6,27
"982",86,"control",6,28
"983",43,"lockdown, no surge",6,28
"984",61,"lockdown, surge",6,28
"985",91,"control",6,29
"986",49,"lockdown, no surge",6,29
"987",64,"lockdown, surge",6,29
"988",92,"control",6,30
"989",57,"lockdown, no surge",6,30
"990",69,"lockdown, surge",6,30
"991",94,"control",6,31
"992",63,"lockdown, no surge",6,31
"993",69,"lockdown, surge",6,31
"994",94,"control",6,32
"995",67,"lockdown, no surge",6,32
"996",72,"lockdown, surge",6,32
"997",97,"control",6,33
"998",69,"lockdown, no surge",6,33
"999",75,"lockdown, surge",6,33
"1000",97,"control",6,34
"1001",71,"lockdown, no surge",6,34
"1002",77,"lockdown, surge",6,34
"1003",99,"control",6,35
"1004",72,"lockdown, no surge",6,35
"1005",77,"lockdown, surge",6,35
"1006",99,"control",6,36
"1007",75,"lockdown, no surge",6,36
"1008",81,"lockdown, surge",6,36
"1009",99,"control",6,37
"1010",81,"lockdown, no surge",6,37
"1011",84,"lockdown, surge",6,37
"1012",100,"control",6,38
"1013",82,"lockdown, no surge",6,38
"1014",86,"lockdown, surge",6,38
"1015",100,"control",6,39
"1016",85,"lockdown, no surge",6,39
"1017",87,"lockdown, surge",6,39
"1018",100,"control",6,40
"1019",87,"lockdown, no surge",6,40
"1020",89,"lockdown, surge",6,40
"1021",100,"control",6,41
"1022",90,"lockdown, no surge",6,41
"1023",91,"lockdown, surge",6,41
"1024",100,"control",6,42
"1025",91,"lockdown, no surge",6,42
"1026",92,"lockdown, surge",6,42
"1027",100,"control",6,43
"1028",93,"lockdown, no surge",6,43
"1029",93,"lockdown, surge",6,43
"1030",100,"control",6,44
"1031",95,"lockdown, no surge",6,44
"1032",93,"lockdown, surge",6,44
"1033",100,"control",6,45
"1034",95,"lockdown, no surge",6,45
"1035",94,"lockdown, surge",6,45
"1036",100,"control",6,46
"1037",95,"lockdown, no surge",6,46
"1038",95,"lockdown, surge",6,46
"1039",100,"control",6,47
"1040",95,"lockdown, no surge",6,47
"1041",95,"lockdown, surge",6,47
"1042",100,"control",6,48
"1043",95,"lockdown, no surge",6,48
"1044",96,"lockdown, surge",6,48
"1045",100,"control",6,49
"1046",95,"lockdown, no surge",6,49
"1047",96,"lockdown, surge",6,49
"1048",100,"control",6,50
"1049",95,"lockdown, no surge",6,50
"1050",96,"lockdown, surge",6,50
"1051",100,"control",6,51
"1052",96,"lockdown, no surge",6,51
"1053",96,"lockdown, surge",6,51
"1054",100,"control",6,52
"1055",96,"lockdown, no surge",6,52
"1056",97,"lockdown, surge",6,52
"1057",100,"control",6,53
"1058",96,"lockdown, no surge",6,53
"1059",97,"lockdown, surge",6,53
"1060",100,"control",6,54
"1061",96,"lockdown, no surge",6,54
"1062",97,"lockdown, surge",6,54
"1063",100,"control",6,55
"1064",96,"lockdown, no surge",6,55
"1065",97,"lockdown, surge",6,55
"1066",100,"control",6,56
"1067",96,"lockdown, no surge",6,56
"1068",97,"lockdown, surge",6,56
"1069",100,"control",6,57
"1070",97,"lockdown, no surge",6,57
"1071",98,"lockdown, surge",6,57
"1072",100,"control",6,58
"1073",98,"lockdown, no surge",6,58
"1074",98,"lockdown, surge",6,58
"1075",100,"control",6,59
"1076",98,"lockdown, no surge",6,59
"1077",98,"lockdown, surge",6,59
"1078",100,"control",6,60
"1079",99,"lockdown, no surge",6,60
"1080",98,"lockdown, surge",6,60
"1081",NA,"control",7,1
"1082",NA,"lockdown, no surge",7,1
"1083",NA,"lockdown, surge",7,1
"1084",1,"control",7,2
"1085",1,"lockdown, no surge",7,2
"1086",1,"lockdown, surge",7,2
"1087",1,"control",7,3
"1088",1,"lockdown, no surge",7,3
"1089",1,"lockdown, surge",7,3
"1090",1,"control",7,4
"1091",1,"lockdown, no surge",7,4
"1092",1,"lockdown, surge",7,4
"1093",1,"control",7,5
"1094",1,"lockdown, no surge",7,5
"1095",1,"lockdown, surge",7,5
"1096",1,"control",7,6
"1097",1,"lockdown, no surge",7,6
"1098",1,"lockdown, surge",7,6
"1099",1,"control",7,7
"1100",1,"lockdown, no surge",7,7
"1101",1,"lockdown, surge",7,7
"1102",1,"control",7,8
"1103",1,"lockdown, no surge",7,8
"1104",1,"lockdown, surge",7,8
"1105",1,"control",7,9
"1106",1,"lockdown, no surge",7,9
"1107",1,"lockdown, surge",7,9
"1108",1,"control",7,10
"1109",1,"lockdown, no surge",7,10
"1110",1,"lockdown, surge",7,10
"1111",1,"control",7,11
"1112",1,"lockdown, no surge",7,11
"1113",1,"lockdown, surge",7,11
"1114",1,"control",7,12
"1115",1,"lockdown, no surge",7,12
"1116",1,"lockdown, surge",7,12
"1117",1,"control",7,13
"1118",1,"lockdown, no surge",7,13
"1119",1,"lockdown, surge",7,13
"1120",1,"control",7,14
"1121",2,"lockdown, no surge",7,14
"1122",1,"lockdown, surge",7,14
"1123",2,"control",7,15
"1124",2,"lockdown, no surge",7,15
"1125",1,"lockdown, surge",7,15
"1126",2,"control",7,16
"1127",4,"lockdown, no surge",7,16
"1128",2,"lockdown, surge",7,16
"1129",3,"control",7,17
"1130",4,"lockdown, no surge",7,17
"1131",2,"lockdown, surge",7,17
"1132",7,"control",7,18
"1133",5,"lockdown, no surge",7,18
"1134",4,"lockdown, surge",7,18
"1135",14,"control",7,19
"1136",9,"lockdown, no surge",7,19
"1137",10,"lockdown, surge",7,19
"1138",18,"control",7,20
"1139",12,"lockdown, no surge",7,20
"1140",14,"lockdown, surge",7,20
"1141",26,"control",7,21
"1142",15,"lockdown, no surge",7,21
"1143",20,"lockdown, surge",7,21
"1144",35,"control",7,22
"1145",19,"lockdown, no surge",7,22
"1146",29,"lockdown, surge",7,22
"1147",41,"control",7,23
"1148",25,"lockdown, no surge",7,23
"1149",36,"lockdown, surge",7,23
"1150",50,"control",7,24
"1151",27,"lockdown, no surge",7,24
"1152",40,"lockdown, surge",7,24
"1153",58,"control",7,25
"1154",27,"lockdown, no surge",7,25
"1155",42,"lockdown, surge",7,25
"1156",65,"control",7,26
"1157",33,"lockdown, no surge",7,26
"1158",47,"lockdown, surge",7,26
"1159",73,"control",7,27
"1160",34,"lockdown, no surge",7,27
"1161",52,"lockdown, surge",7,27
"1162",78,"control",7,28
"1163",38,"lockdown, no surge",7,28
"1164",57,"lockdown, surge",7,28
"1165",86,"control",7,29
"1166",42,"lockdown, no surge",7,29
"1167",61,"lockdown, surge",7,29
"1168",90,"control",7,30
"1169",49,"lockdown, no surge",7,30
"1170",63,"lockdown, surge",7,30
"1171",93,"control",7,31
"1172",58,"lockdown, no surge",7,31
"1173",68,"lockdown, surge",7,31
"1174",93,"control",7,32
"1175",64,"lockdown, no surge",7,32
"1176",71,"lockdown, surge",7,32
"1177",94,"control",7,33
"1178",67,"lockdown, no surge",7,33
"1179",73,"lockdown, surge",7,33
"1180",96,"control",7,34
"1181",69,"lockdown, no surge",7,34
"1182",76,"lockdown, surge",7,34
"1183",97,"control",7,35
"1184",71,"lockdown, no surge",7,35
"1185",77,"lockdown, surge",7,35
"1186",98,"control",7,36
"1187",73,"lockdown, no surge",7,36
"1188",78,"lockdown, surge",7,36
"1189",98,"control",7,37
"1190",78,"lockdown, no surge",7,37
"1191",83,"lockdown, surge",7,37
"1192",98,"control",7,38
"1193",80,"lockdown, no surge",7,38
"1194",85,"lockdown, surge",7,38
"1195",99,"control",7,39
"1196",81,"lockdown, no surge",7,39
"1197",86,"lockdown, surge",7,39
"1198",100,"control",7,40
"1199",83,"lockdown, no surge",7,40
"1200",88,"lockdown, surge",7,40
"1201",100,"control",7,41
"1202",87,"lockdown, no surge",7,41
"1203",88,"lockdown, surge",7,41
"1204",100,"control",7,42
"1205",89,"lockdown, no surge",7,42
"1206",90,"lockdown, surge",7,42
"1207",100,"control",7,43
"1208",90,"lockdown, no surge",7,43
"1209",92,"lockdown, surge",7,43
"1210",100,"control",7,44
"1211",93,"lockdown, no surge",7,44
"1212",92,"lockdown, surge",7,44
"1213",100,"control",7,45
"1214",95,"lockdown, no surge",7,45
"1215",92,"lockdown, surge",7,45
"1216",100,"control",7,46
"1217",95,"lockdown, no surge",7,46
"1218",95,"lockdown, surge",7,46
"1219",100,"control",7,47
"1220",95,"lockdown, no surge",7,47
"1221",95,"lockdown, surge",7,47
"1222",100,"control",7,48
"1223",95,"lockdown, no surge",7,48
"1224",96,"lockdown, surge",7,48
"1225",100,"control",7,49
"1226",95,"lockdown, no surge",7,49
"1227",96,"lockdown, surge",7,49
"1228",100,"control",7,50
"1229",95,"lockdown, no surge",7,50
"1230",96,"lockdown, surge",7,50
"1231",100,"control",7,51
"1232",96,"lockdown, no surge",7,51
"1233",96,"lockdown, surge",7,51
"1234",100,"control",7,52
"1235",96,"lockdown, no surge",7,52
"1236",96,"lockdown, surge",7,52
"1237",100,"control",7,53
"1238",96,"lockdown, no surge",7,53
"1239",97,"lockdown, surge",7,53
"1240",100,"control",7,54
"1241",96,"lockdown, no surge",7,54
"1242",97,"lockdown, surge",7,54
"1243",100,"control",7,55
"1244",96,"lockdown, no surge",7,55
"1245",97,"lockdown, surge",7,55
"1246",100,"control",7,56
"1247",96,"lockdown, no surge",7,56
"1248",97,"lockdown, surge",7,56
"1249",100,"control",7,57
"1250",96,"lockdown, no surge",7,57
"1251",97,"lockdown, surge",7,57
"1252",100,"control",7,58
"1253",97,"lockdown, no surge",7,58
"1254",98,"lockdown, surge",7,58
"1255",100,"control",7,59
"1256",98,"lockdown, no surge",7,59
"1257",98,"lockdown, surge",7,59
"1258",100,"control",7,60
"1259",98,"lockdown, no surge",7,60
"1260",98,"lockdown, surge",7,60
"1261",NA,"control",8,1
"1262",NA,"lockdown, no surge",8,1
"1263",NA,"lockdown, surge",8,1
"1264",1,"control",8,2
"1265",1,"lockdown, no surge",8,2
"1266",1,"lockdown, surge",8,2
"1267",1,"control",8,3
"1268",1,"lockdown, no surge",8,3
"1269",1,"lockdown, surge",8,3
"1270",1,"control",8,4
"1271",1,"lockdown, no surge",8,4
"1272",1,"lockdown, surge",8,4
"1273",1,"control",8,5
"1274",1,"lockdown, no surge",8,5
"1275",1,"lockdown, surge",8,5
"1276",1,"control",8,6
"1277",1,"lockdown, no surge",8,6
"1278",1,"lockdown, surge",8,6
"1279",1,"control",8,7
"1280",1,"lockdown, no surge",8,7
"1281",1,"lockdown, surge",8,7
"1282",1,"control",8,8
"1283",1,"lockdown, no surge",8,8
"1284",1,"lockdown, surge",8,8
"1285",1,"control",8,9
"1286",1,"lockdown, no surge",8,9
"1287",1,"lockdown, surge",8,9
"1288",1,"control",8,10
"1289",1,"lockdown, no surge",8,10
"1290",1,"lockdown, surge",8,10
"1291",1,"control",8,11
"1292",1,"lockdown, no surge",8,11
"1293",1,"lockdown, surge",8,11
"1294",1,"control",8,12
"1295",1,"lockdown, no surge",8,12
"1296",1,"lockdown, surge",8,12
"1297",1,"control",8,13
"1298",1,"lockdown, no surge",8,13
"1299",1,"lockdown, surge",8,13
"1300",1,"control",8,14
"1301",2,"lockdown, no surge",8,14
"1302",1,"lockdown, surge",8,14
"1303",1,"control",8,15
"1304",2,"lockdown, no surge",8,15
"1305",1,"lockdown, surge",8,15
"1306",2,"control",8,16
"1307",4,"lockdown, no surge",8,16
"1308",2,"lockdown, surge",8,16
"1309",2,"control",8,17
"1310",4,"lockdown, no surge",8,17
"1311",2,"lockdown, surge",8,17
"1312",5,"control",8,18
"1313",4,"lockdown, no surge",8,18
"1314",4,"lockdown, surge",8,18
"1315",9,"control",8,19
"1316",6,"lockdown, no surge",8,19
"1317",7,"lockdown, surge",8,19
"1318",12,"control",8,20
"1319",9,"lockdown, no surge",8,20
"1320",10,"lockdown, surge",8,20
"1321",22,"control",8,21
"1322",12,"lockdown, no surge",8,21
"1323",15,"lockdown, surge",8,21
"1324",26,"control",8,22
"1325",17,"lockdown, no surge",8,22
"1326",21,"lockdown, surge",8,22
"1327",33,"control",8,23
"1328",20,"lockdown, no surge",8,23
"1329",27,"lockdown, surge",8,23
"1330",41,"control",8,24
"1331",22,"lockdown, no surge",8,24
"1332",33,"lockdown, surge",8,24
"1333",49,"control",8,25
"1334",25,"lockdown, no surge",8,25
"1335",38,"lockdown, surge",8,25
"1336",60,"control",8,26
"1337",25,"lockdown, no surge",8,26
"1338",45,"lockdown, surge",8,26
"1339",66,"control",8,27
"1340",32,"lockdown, no surge",8,27
"1341",48,"lockdown, surge",8,27
"1342",72,"control",8,28
"1343",36,"lockdown, no surge",8,28
"1344",54,"lockdown, surge",8,28
"1345",82,"control",8,29
"1346",38,"lockdown, no surge",8,29
"1347",58,"lockdown, surge",8,29
"1348",87,"control",8,30
"1349",43,"lockdown, no surge",8,30
"1350",62,"lockdown, surge",8,30
"1351",91,"control",8,31
"1352",49,"lockdown, no surge",8,31
"1353",66,"lockdown, surge",8,31
"1354",93,"control",8,32
"1355",58,"lockdown, no surge",8,32
"1356",69,"lockdown, surge",8,32
"1357",94,"control",8,33
"1358",65,"lockdown, no surge",8,33
"1359",72,"lockdown, surge",8,33
"1360",96,"control",8,34
"1361",68,"lockdown, no surge",8,34
"1362",74,"lockdown, surge",8,34
"1363",97,"control",8,35
"1364",71,"lockdown, no surge",8,35
"1365",75,"lockdown, surge",8,35
"1366",97,"control",8,36
"1367",71,"lockdown, no surge",8,36
"1368",76,"lockdown, surge",8,36
"1369",98,"control",8,37
"1370",74,"lockdown, no surge",8,37
"1371",78,"lockdown, surge",8,37
"1372",98,"control",8,38
"1373",80,"lockdown, no surge",8,38
"1374",84,"lockdown, surge",8,38
"1375",98,"control",8,39
"1376",81,"lockdown, no surge",8,39
"1377",85,"lockdown, surge",8,39
"1378",98,"control",8,40
"1379",82,"lockdown, no surge",8,40
"1380",86,"lockdown, surge",8,40
"1381",99,"control",8,41
"1382",85,"lockdown, no surge",8,41
"1383",87,"lockdown, surge",8,41
"1384",100,"control",8,42
"1385",88,"lockdown, no surge",8,42
"1386",89,"lockdown, surge",8,42
"1387",100,"control",8,43
"1388",89,"lockdown, no surge",8,43
"1389",92,"lockdown, surge",8,43
"1390",100,"control",8,44
"1391",92,"lockdown, no surge",8,44
"1392",92,"lockdown, surge",8,44
"1393",100,"control",8,45
"1394",94,"lockdown, no surge",8,45
"1395",92,"lockdown, surge",8,45
"1396",100,"control",8,46
"1397",94,"lockdown, no surge",8,46
"1398",94,"lockdown, surge",8,46
"1399",100,"control",8,47
"1400",95,"lockdown, no surge",8,47
"1401",95,"lockdown, surge",8,47
"1402",100,"control",8,48
"1403",95,"lockdown, no surge",8,48
"1404",95,"lockdown, surge",8,48
"1405",100,"control",8,49
"1406",95,"lockdown, no surge",8,49
"1407",95,"lockdown, surge",8,49
"1408",100,"control",8,50
"1409",95,"lockdown, no surge",8,50
"1410",96,"lockdown, surge",8,50
"1411",100,"control",8,51
"1412",95,"lockdown, no surge",8,51
"1413",96,"lockdown, surge",8,51
"1414",100,"control",8,52
"1415",96,"lockdown, no surge",8,52
"1416",96,"lockdown, surge",8,52
"1417",100,"control",8,53
"1418",96,"lockdown, no surge",8,53
"1419",97,"lockdown, surge",8,53
"1420",100,"control",8,54
"1421",96,"lockdown, no surge",8,54
"1422",97,"lockdown, surge",8,54
"1423",100,"control",8,55
"1424",96,"lockdown, no surge",8,55
"1425",97,"lockdown, surge",8,55
"1426",100,"control",8,56
"1427",96,"lockdown, no surge",8,56
"1428",97,"lockdown, surge",8,56
"1429",100,"control",8,57
"1430",96,"lockdown, no surge",8,57
"1431",97,"lockdown, surge",8,57
"1432",100,"control",8,58
"1433",96,"lockdown, no surge",8,58
"1434",97,"lockdown, surge",8,58
"1435",100,"control",8,59
"1436",97,"lockdown, no surge",8,59
"1437",98,"lockdown, surge",8,59
"1438",100,"control",8,60
"1439",98,"lockdown, no surge",8,60
"1440",98,"lockdown, surge",8,60
"1441",NA,"control",9,1
"1442",NA,"lockdown, no surge",9,1
"1443",NA,"lockdown, surge",9,1
"1444",1,"control",9,2
"1445",1,"lockdown, no surge",9,2
"1446",1,"lockdown, surge",9,2
"1447",1,"control",9,3
"1448",1,"lockdown, no surge",9,3
"1449",1,"lockdown, surge",9,3
"1450",1,"control",9,4
"1451",1,"lockdown, no surge",9,4
"1452",1,"lockdown, surge",9,4
"1453",1,"control",9,5
"1454",1,"lockdown, no surge",9,5
"1455",1,"lockdown, surge",9,5
"1456",1,"control",9,6
"1457",1,"lockdown, no surge",9,6
"1458",1,"lockdown, surge",9,6
"1459",1,"control",9,7
"1460",1,"lockdown, no surge",9,7
"1461",1,"lockdown, surge",9,7
"1462",1,"control",9,8
"1463",1,"lockdown, no surge",9,8
"1464",1,"lockdown, surge",9,8
"1465",1,"control",9,9
"1466",1,"lockdown, no surge",9,9
"1467",1,"lockdown, surge",9,9
"1468",1,"control",9,10
"1469",1,"lockdown, no surge",9,10
"1470",1,"lockdown, surge",9,10
"1471",1,"control",9,11
"1472",1,"lockdown, no surge",9,11
"1473",1,"lockdown, surge",9,11
"1474",1,"control",9,12
"1475",1,"lockdown, no surge",9,12
"1476",1,"lockdown, surge",9,12
"1477",1,"control",9,13
"1478",1,"lockdown, no surge",9,13
"1479",1,"lockdown, surge",9,13
"1480",1,"control",9,14
"1481",1,"lockdown, no surge",9,14
"1482",1,"lockdown, surge",9,14
"1483",1,"control",9,15
"1484",2,"lockdown, no surge",9,15
"1485",1,"lockdown, surge",9,15
"1486",2,"control",9,16
"1487",3,"lockdown, no surge",9,16
"1488",1,"lockdown, surge",9,16
"1489",2,"control",9,17
"1490",4,"lockdown, no surge",9,17
"1491",2,"lockdown, surge",9,17
"1492",3,"control",9,18
"1493",4,"lockdown, no surge",9,18
"1494",2,"lockdown, surge",9,18
"1495",7,"control",9,19
"1496",5,"lockdown, no surge",9,19
"1497",3,"lockdown, surge",9,19
"1498",11,"control",9,20
"1499",5,"lockdown, no surge",9,20
"1500",8,"lockdown, surge",9,20
"1501",17,"control",9,21
"1502",10,"lockdown, no surge",9,21
"1503",11,"lockdown, surge",9,21
"1504",24,"control",9,22
"1505",14,"lockdown, no surge",9,22
"1506",17,"lockdown, surge",9,22
"1507",29,"control",9,23
"1508",18,"lockdown, no surge",9,23
"1509",23,"lockdown, surge",9,23
"1510",37,"control",9,24
"1511",20,"lockdown, no surge",9,24
"1512",28,"lockdown, surge",9,24
"1513",42,"control",9,25
"1514",25,"lockdown, no surge",9,25
"1515",36,"lockdown, surge",9,25
"1516",51,"control",9,26
"1517",25,"lockdown, no surge",9,26
"1518",41,"lockdown, surge",9,26
"1519",62,"control",9,27
"1520",29,"lockdown, no surge",9,27
"1521",45,"lockdown, surge",9,27
"1522",68,"control",9,28
"1523",30,"lockdown, no surge",9,28
"1524",49,"lockdown, surge",9,28
"1525",76,"control",9,29
"1526",36,"lockdown, no surge",9,29
"1527",55,"lockdown, surge",9,29
"1528",84,"control",9,30
"1529",41,"lockdown, no surge",9,30
"1530",62,"lockdown, surge",9,30
"1531",87,"control",9,31
"1532",46,"lockdown, no surge",9,31
"1533",63,"lockdown, surge",9,31
"1534",91,"control",9,32
"1535",54,"lockdown, no surge",9,32
"1536",68,"lockdown, surge",9,32
"1537",92,"control",9,33
"1538",59,"lockdown, no surge",9,33
"1539",69,"lockdown, surge",9,33
"1540",94,"control",9,34
"1541",67,"lockdown, no surge",9,34
"1542",73,"lockdown, surge",9,34
"1543",97,"control",9,35
"1544",68,"lockdown, no surge",9,35
"1545",74,"lockdown, surge",9,35
"1546",97,"control",9,36
"1547",71,"lockdown, no surge",9,36
"1548",75,"lockdown, surge",9,36
"1549",98,"control",9,37
"1550",71,"lockdown, no surge",9,37
"1551",76,"lockdown, surge",9,37
"1552",98,"control",9,38
"1553",78,"lockdown, no surge",9,38
"1554",80,"lockdown, surge",9,38
"1555",98,"control",9,39
"1556",78,"lockdown, no surge",9,39
"1557",83,"lockdown, surge",9,39
"1558",98,"control",9,40
"1559",81,"lockdown, no surge",9,40
"1560",85,"lockdown, surge",9,40
"1561",98,"control",9,41
"1562",83,"lockdown, no surge",9,41
"1563",85,"lockdown, surge",9,41
"1564",99,"control",9,42
"1565",86,"lockdown, no surge",9,42
"1566",87,"lockdown, surge",9,42
"1567",99,"control",9,43
"1568",88,"lockdown, no surge",9,43
"1569",90,"lockdown, surge",9,43
"1570",100,"control",9,44
"1571",89,"lockdown, no surge",9,44
"1572",92,"lockdown, surge",9,44
"1573",100,"control",9,45
"1574",92,"lockdown, no surge",9,45
"1575",92,"lockdown, surge",9,45
"1576",100,"control",9,46
"1577",94,"lockdown, no surge",9,46
"1578",93,"lockdown, surge",9,46
"1579",100,"control",9,47
"1580",94,"lockdown, no surge",9,47
"1581",94,"lockdown, surge",9,47
"1582",100,"control",9,48
"1583",95,"lockdown, no surge",9,48
"1584",95,"lockdown, surge",9,48
"1585",100,"control",9,49
"1586",95,"lockdown, no surge",9,49
"1587",95,"lockdown, surge",9,49
"1588",100,"control",9,50
"1589",95,"lockdown, no surge",9,50
"1590",95,"lockdown, surge",9,50
"1591",100,"control",9,51
"1592",95,"lockdown, no surge",9,51
"1593",96,"lockdown, surge",9,51
"1594",100,"control",9,52
"1595",95,"lockdown, no surge",9,52
"1596",96,"lockdown, surge",9,52
"1597",100,"control",9,53
"1598",96,"lockdown, no surge",9,53
"1599",96,"lockdown, surge",9,53
"1600",100,"control",9,54
"1601",96,"lockdown, no surge",9,54
"1602",96,"lockdown, surge",9,54
"1603",100,"control",9,55
"1604",96,"lockdown, no surge",9,55
"1605",96,"lockdown, surge",9,55
"1606",100,"control",9,56
"1607",96,"lockdown, no surge",9,56
"1608",97,"lockdown, surge",9,56
"1609",100,"control",9,57
"1610",96,"lockdown, no surge",9,57
"1611",97,"lockdown, surge",9,57
"1612",100,"control",9,58
"1613",96,"lockdown, no surge",9,58
"1614",97,"lockdown, surge",9,58
"1615",100,"control",9,59
"1616",96,"lockdown, no surge",9,59
"1617",98,"lockdown, surge",9,59
"1618",100,"control",9,60
"1619",97,"lockdown, no surge",9,60
"1620",98,"lockdown, surge",9,60
"1621",NA,"control",10,1
"1622",NA,"lockdown, no surge",10,1
"1623",NA,"lockdown, surge",10,1
"1624",1,"control",10,2
"1625",1,"lockdown, no surge",10,2
"1626",NA,"lockdown, surge",10,2
"1627",1,"control",10,3
"1628",1,"lockdown, no surge",10,3
"1629",1,"lockdown, surge",10,3
"1630",1,"control",10,4
"1631",1,"lockdown, no surge",10,4
"1632",1,"lockdown, surge",10,4
"1633",1,"control",10,5
"1634",1,"lockdown, no surge",10,5
"1635",1,"lockdown, surge",10,5
"1636",1,"control",10,6
"1637",1,"lockdown, no surge",10,6
"1638",1,"lockdown, surge",10,6
"1639",1,"control",10,7
"1640",1,"lockdown, no surge",10,7
"1641",1,"lockdown, surge",10,7
"1642",1,"control",10,8
"1643",1,"lockdown, no surge",10,8
"1644",1,"lockdown, surge",10,8
"1645",1,"control",10,9
"1646",1,"lockdown, no surge",10,9
"1647",1,"lockdown, surge",10,9
"1648",1,"control",10,10
"1649",1,"lockdown, no surge",10,10
"1650",1,"lockdown, surge",10,10
"1651",1,"control",10,11
"1652",1,"lockdown, no surge",10,11
"1653",1,"lockdown, surge",10,11
"1654",1,"control",10,12
"1655",1,"lockdown, no surge",10,12
"1656",1,"lockdown, surge",10,12
"1657",1,"control",10,13
"1658",1,"lockdown, no surge",10,13
"1659",1,"lockdown, surge",10,13
"1660",1,"control",10,14
"1661",1,"lockdown, no surge",10,14
"1662",1,"lockdown, surge",10,14
"1663",1,"control",10,15
"1664",1,"lockdown, no surge",10,15
