"","ncomm","sim_type","i","j"
"171",100,"lockdown, surge",1,57
"172",100,"control",1,58
"173",100,"lockdown, no surge",1,58
"174",100,"lockdown, surge",1,58
"175",100,"control",1,59
"176",100,"lockdown, no surge",1,59
"177",100,"lockdown, surge",1,59
"178",100,"control",1,60
"179",100,"lockdown, no surge",1,60
"180",100,"lockdown, surge",1,60
"181",1,"control",2,1
"182",1,"lockdown, no surge",2,1
"183",1,"lockdown, surge",2,1
"184",1,"control",2,2
"185",1,"lockdown, no surge",2,2
"186",1,"lockdown, surge",2,2
"187",1,"control",2,3
"188",1,"lockdown, no surge",2,3
"189",1,"lockdown, surge",2,3
"190",1,"control",2,4
"191",1,"lockdown, no surge",2,4
"192",1,"lockdown, surge",2,4
"193",1,"control",2,5
"194",1,"lockdown, no surge",2,5
"195",1,"lockdown, surge",2,5
"196",1,"control",2,6
"197",2,"lockdown, no surge",2,6
"198",1,"lockdown, surge",2,6
"199",1,"control",2,7
"200",2,"lockdown, no surge",2,7
"201",1,"lockdown, surge",2,7
"202",1,"control",2,8
"203",2,"lockdown, no surge",2,8
"204",1,"lockdown, surge",2,8
"205",2,"control",2,9
"206",4,"lockdown, no surge",2,9
"207",2,"lockdown, surge",2,9
"208",6,"control",2,10
"209",5,"lockdown, no surge",2,10
"210",3,"lockdown, surge",2,10
"211",10,"control",2,11
"212",6,"lockdown, no surge",2,11
"213",5,"lockdown, surge",2,11
"214",14,"control",2,12
"215",6,"lockdown, no surge",2,12
"216",10,"lockdown, surge",2,12
"217",20,"control",2,13
"218",10,"lockdown, no surge",2,13
"219",16,"lockdown, surge",2,13
"220",25,"control",2,14
"221",14,"lockdown, no surge",2,14
"222",22,"lockdown, surge",2,14
"223",34,"control",2,15
"224",24,"lockdown, no surge",2,15
"225",25,"lockdown, surge",2,15
"226",43,"control",2,16
"227",30,"lockdown, no surge",2,16
"228",35,"lockdown, surge",2,16
"229",48,"control",2,17
"230",36,"lockdown, no surge",2,17
"231",40,"lockdown, surge",2,17
"232",58,"control",2,18
"233",39,"lockdown, no surge",2,18
"234",43,"lockdown, surge",2,18
"235",64,"control",2,19
"236",44,"lockdown, no surge",2,19
"237",50,"lockdown, surge",2,19
"238",72,"control",2,20
"239",52,"lockdown, no surge",2,20
"240",56,"lockdown, surge",2,20
"241",84,"control",2,21
"242",54,"lockdown, no surge",2,21
"243",63,"lockdown, surge",2,21
"244",88,"control",2,22
"245",55,"lockdown, no surge",2,22
"246",67,"lockdown, surge",2,22
"247",91,"control",2,23
"248",58,"lockdown, no surge",2,23
"249",68,"lockdown, surge",2,23
"250",93,"control",2,24
"251",64,"lockdown, no surge",2,24
"252",70,"lockdown, surge",2,24
"253",95,"control",2,25
"254",69,"lockdown, no surge",2,25
"255",73,"lockdown, surge",2,25
"256",95,"control",2,26
"257",75,"lockdown, no surge",2,26
"258",76,"lockdown, surge",2,26
"259",97,"control",2,27
"260",78,"lockdown, no surge",2,27
"261",81,"lockdown, surge",2,27
"262",98,"control",2,28
"263",78,"lockdown, no surge",2,28
"264",83,"lockdown, surge",2,28
"265",100,"control",2,29
"266",80,"lockdown, no surge",2,29
"267",86,"lockdown, surge",2,29
"268",100,"control",2,30
"269",84,"lockdown, no surge",2,30
"270",87,"lockdown, surge",2,30
"271",100,"control",2,31
"272",87,"lockdown, no surge",2,31
"273",90,"lockdown, surge",2,31
"274",100,"control",2,32
"275",89,"lockdown, no surge",2,32
"276",90,"lockdown, surge",2,32
"277",100,"control",2,33
"278",89,"lockdown, no surge",2,33
"279",92,"lockdown, surge",2,33
"280",100,"control",2,34
"281",89,"lockdown, no surge",2,34
"282",94,"lockdown, surge",2,34
"283",100,"control",2,35
"284",92,"lockdown, no surge",2,35
"285",95,"lockdown, surge",2,35
"286",100,"control",2,36
"287",93,"lockdown, no surge",2,36
"288",95,"lockdown, surge",2,36
"289",100,"control",2,37
"290",93,"lockdown, no surge",2,37
"291",96,"lockdown, surge",2,37
"292",100,"control",2,38
"293",94,"lockdown, no surge",2,38
"294",96,"lockdown, surge",2,38
"295",100,"control",2,39
"296",95,"lockdown, no surge",2,39
"297",96,"lockdown, surge",2,39
"298",100,"control",2,40
"299",95,"lockdown, no surge",2,40
"300",96,"lockdown, surge",2,40
"301",100,"control",2,41
"302",95,"lockdown, no surge",2,41
"303",96,"lockdown, surge",2,41
"304",100,"control",2,42
"305",95,"lockdown, no surge",2,42
"306",97,"lockdown, surge",2,42
"307",100,"control",2,43
"308",95,"lockdown, no surge",2,43
"309",97,"lockdown, surge",2,43
"310",100,"control",2,44
"311",96,"lockdown, no surge",2,44
"312",98,"lockdown, surge",2,44
"313",100,"control",2,45
"314",96,"lockdown, no surge",2,45
"315",99,"lockdown, surge",2,45
"316",100,"control",2,46
"317",96,"lockdown, no surge",2,46
"318",99,"lockdown, surge",2,46
"319",100,"control",2,47
"320",97,"lockdown, no surge",2,47
"321",99,"lockdown, surge",2,47
"322",100,"control",2,48
"323",97,"lockdown, no surge",2,48
"324",99,"lockdown, surge",2,48
"325",100,"control",2,49
"326",97,"lockdown, no surge",2,49
"327",99,"lockdown, surge",2,49
"328",100,"control",2,50
"329",97,"lockdown, no surge",2,50
"330",99,"lockdown, surge",2,50
"331",100,"control",2,51
"332",97,"lockdown, no surge",2,51
"333",100,"lockdown, surge",2,51
"334",100,"control",2,52
