"","ncomm","sim_type","i","j"
"171",97,"lockdown, surge",1,57
"172",100,"control",1,58
"173",98,"lockdown, no surge",1,58
"174",97,"lockdown, surge",1,58
"175",100,"control",1,59
"176",98,"lockdown, no surge",1,59
"177",97,"lockdown, surge",1,59
"178",100,"control",1,60
"179",98,"lockdown, no surge",1,60
"180",97,"lockdown, surge",1,60
"181",1,"control",2,1
"182",1,"lockdown, no surge",2,1
"183",1,"lockdown, surge",2,1
"184",1,"control",2,2
"185",1,"lockdown, no surge",2,2
"186",1,"lockdown, surge",2,2
"187",1,"control",2,3
"188",1,"lockdown, no surge",2,3
"189",1,"lockdown, surge",2,3
"190",1,"control",2,4
"191",1,"lockdown, no surge",2,4
"192",1,"lockdown, surge",2,4
"193",1,"control",2,5
"194",1,"lockdown, no surge",2,5
"195",1,"lockdown, surge",2,5
"196",1,"control",2,6
"197",1,"lockdown, no surge",2,6
"198",1,"lockdown, surge",2,6
"199",1,"control",2,7
"200",1,"lockdown, no surge",2,7
"201",2,"lockdown, surge",2,7
"202",1,"control",2,8
"203",1,"lockdown, no surge",2,8
"204",2,"lockdown, surge",2,8
"205",2,"control",2,9
"206",1,"lockdown, no surge",2,9
"207",2,"lockdown, surge",2,9
"208",6,"control",2,10
"209",1,"lockdown, no surge",2,10
"210",5,"lockdown, surge",2,10
"211",10,"control",2,11
"212",2,"lockdown, no surge",2,11
"213",10,"lockdown, surge",2,11
"214",14,"control",2,12
"215",4,"lockdown, no surge",2,12
"216",13,"lockdown, surge",2,12
"217",20,"control",2,13
"218",7,"lockdown, no surge",2,13
"219",16,"lockdown, surge",2,13
"220",25,"control",2,14
"221",13,"lockdown, no surge",2,14
"222",19,"lockdown, surge",2,14
"223",34,"control",2,15
"224",16,"lockdown, no surge",2,15
"225",20,"lockdown, surge",2,15
"226",43,"control",2,16
"227",18,"lockdown, no surge",2,16
"228",24,"lockdown, surge",2,16
"229",48,"control",2,17
"230",19,"lockdown, no surge",2,17
"231",24,"lockdown, surge",2,17
"232",58,"control",2,18
"233",21,"lockdown, no surge",2,18
"234",27,"lockdown, surge",2,18
"235",64,"control",2,19
"236",25,"lockdown, no surge",2,19
"237",27,"lockdown, surge",2,19
"238",72,"control",2,20
"239",31,"lockdown, no surge",2,20
"240",31,"lockdown, surge",2,20
"241",84,"control",2,21
"242",39,"lockdown, no surge",2,21
"243",32,"lockdown, surge",2,21
"244",88,"control",2,22
"245",43,"lockdown, no surge",2,22
"246",41,"lockdown, surge",2,22
"247",91,"control",2,23
"248",50,"lockdown, no surge",2,23
"249",46,"lockdown, surge",2,23
"250",93,"control",2,24
"251",54,"lockdown, no surge",2,24
"252",51,"lockdown, surge",2,24
"253",95,"control",2,25
"254",61,"lockdown, no surge",2,25
"255",57,"lockdown, surge",2,25
"256",95,"control",2,26
"257",64,"lockdown, no surge",2,26
"258",58,"lockdown, surge",2,26
"259",97,"control",2,27
"260",69,"lockdown, no surge",2,27
"261",66,"lockdown, surge",2,27
"262",98,"control",2,28
"263",71,"lockdown, no surge",2,28
"264",70,"lockdown, surge",2,28
"265",100,"control",2,29
"266",75,"lockdown, no surge",2,29
"267",72,"lockdown, surge",2,29
"268",100,"control",2,30
"269",77,"lockdown, no surge",2,30
"270",76,"lockdown, surge",2,30
"271",100,"control",2,31
"272",82,"lockdown, no surge",2,31
"273",80,"lockdown, surge",2,31
"274",100,"control",2,32
"275",83,"lockdown, no surge",2,32
"276",84,"lockdown, surge",2,32
"277",100,"control",2,33
"278",86,"lockdown, no surge",2,33
"279",86,"lockdown, surge",2,33
"280",100,"control",2,34
"281",87,"lockdown, no surge",2,34
"282",86,"lockdown, surge",2,34
"283",100,"control",2,35
"284",88,"lockdown, no surge",2,35
"285",87,"lockdown, surge",2,35
"286",100,"control",2,36
"287",88,"lockdown, no surge",2,36
"288",87,"lockdown, surge",2,36
"289",100,"control",2,37
"290",90,"lockdown, no surge",2,37
"291",88,"lockdown, surge",2,37
"292",100,"control",2,38
"293",90,"lockdown, no surge",2,38
"294",88,"lockdown, surge",2,38
"295",100,"control",2,39
"296",91,"lockdown, no surge",2,39
"297",90,"lockdown, surge",2,39
"298",100,"control",2,40
"299",91,"lockdown, no surge",2,40
"300",92,"lockdown, surge",2,40
"301",100,"control",2,41
"302",92,"lockdown, no surge",2,41
"303",93,"lockdown, surge",2,41
"304",100,"control",2,42
"305",93,"lockdown, no surge",2,42
"306",93,"lockdown, surge",2,42
"307",100,"control",2,43
"308",94,"lockdown, no surge",2,43
"309",93,"lockdown, surge",2,43
"310",100,"control",2,44
"311",94,"lockdown, no surge",2,44
"312",93,"lockdown, surge",2,44
"313",100,"control",2,45
"314",94,"lockdown, no surge",2,45
"315",93,"lockdown, surge",2,45
"316",100,"control",2,46
"317",95,"lockdown, no surge",2,46
"318",94,"lockdown, surge",2,46
"319",100,"control",2,47
"320",95,"lockdown, no surge",2,47
"321",94,"lockdown, surge",2,47
"322",100,"control",2,48
"323",95,"lockdown, no surge",2,48
"324",94,"lockdown, surge",2,48
"325",100,"control",2,49
"326",95,"lockdown, no surge",2,49
"327",94,"lockdown, surge",2,49
"328",100,"control",2,50
"329",95,"lockdown, no surge",2,50
"330",94,"lockdown, surge",2,50
"331",100,"control",2,51
"332",95,"lockdown, no surge",2,51
"333",94,"lockdown, surge",2,51
"334",100,"control",2,52
"335",95,"lockdown, no surge",2,52
"336",95,"lockdown, surge",2,52
"337",100,"control",2,53
"338",95,"lockdown, no surge",2,53
"339",95,"lockdown, surge",2,53
"340",100,"control",2,54
"341",95,"lockdown, no surge",2,54
"342",95,"lockdown, surge",2,54
"343",100,"control",2,55
"344",96,"lockdown, no surge",2,55
"345",95,"lockdown, surge",2,55
"346",100,"control",2,56
"347",96,"lockdown, no surge",2,56
"348",96,"lockdown, surge",2,56
"349",100,"control",2,57
"350",97,"lockdown, no surge",2,57
"351",96,"lockdown, surge",2,57
"352",100,"control",2,58
"353",97,"lockdown, no surge",2,58
"354",96,"lockdown, surge",2,58
"355",100,"control",2,59
"356",97,"lockdown, no surge",2,59
"357",96,"lockdown, surge",2,59
